"","Gene","kTotal"
"LOC105828446","LOC105828446",85.7168234881393
"LOC105828447","LOC105828447",125.567323995031
"LOC105828448","LOC105828448",24.2575320043913
"LOC105828449","LOC105828449",350.918630609569
"LOC105828450","LOC105828450",347.347158513886
"LOC105828451","LOC105828451",27.0861300430366
"LOC105828452","LOC105828452",28.3738015644603
"LOC105828453","LOC105828453",24.4996800444021
"LOC105828454","LOC105828454",43.2550157343423
"LOC105828456","LOC105828456",7.49204530638317
"LOC105828457","LOC105828457",471.012139019899
"LOC105828458","LOC105828458",412.863084761225
"LOC105828459","LOC105828459",606.54627499572
"LOC105828460","LOC105828460",647.706303631318
"LOC105828461","LOC105828461",21.0163179655812
"LOC105828462","LOC105828462",181.317496255507
"LOC105828463","LOC105828463",197.465314287986
"LOC105828464","LOC105828464",6.9042655892173
"LOC105828465","LOC105828465",333.457947629328
"LOC105828466","LOC105828466",3.5293658484504
"LOC105828467","LOC105828467",1.88353457256319
"LOC105828468","LOC105828468",13.3749101432898
"LOC105828469","LOC105828469",91.8788848351753
"LOC105828470","LOC105828470",95.2844361683424
"LOC105828471","LOC105828471",20.2687953281536
"LOC105828472","LOC105828472",296.087438820815
"LOC105828473","LOC105828473",74.6552020769763
"LOC105828474","LOC105828474",25.0748792658372
"LOC105828475","LOC105828475",369.920933081862
"LOC105828476","LOC105828476",150.022032157368
"LOC105828477","LOC105828477",356.830543573167
"LOC105828478","LOC105828478",48.6567966904801
"LOC105828479","LOC105828479",55.6619488721594
"LOC105828480","LOC105828480",27.7896777138004
"LOC105828481","LOC105828481",8.52169916299425
"LOC105828482","LOC105828482",409.022336608777
"LOC105828483","LOC105828483",54.1457237902771
"LOC105828484","LOC105828484",61.7344569029787
"LOC105828485","LOC105828485",46.7206183557879
"LOC105828486","LOC105828486",10.6688870810205
"LOC105828487","LOC105828487",25.8909451436146
"LOC105828488","LOC105828488",306.212829815664
"LOC105828489","LOC105828489",2.88483060742296
"LOC105828490","LOC105828490",47.3841519594623
"LOC105828491","LOC105828491",49.8189534985187
"LOC105828492","LOC105828492",22.6434362061767
"LOC105828493","LOC105828493",27.1375341584231
"LOC105828494","LOC105828494",7.82034553244619
"LOC105828495","LOC105828495",3.28374112910992
"LOC105828496","LOC105828496",13.8820199244303
"LOC105828497","LOC105828497",264.79731619622
"LOC105828498","LOC105828498",223.494622732882
"LOC105828499","LOC105828499",5.92690590642121
"LOC105828500","LOC105828500",81.9635653646201
"LOC105828501","LOC105828501",39.2209790790755
"LOC105828502","LOC105828502",52.0575239122829
"LOC105828503","LOC105828503",55.8965191540552
"LOC105828504","LOC105828504",702.783380669812
"LOC105828505","LOC105828505",61.8235447736956
"LOC105828507","LOC105828507",18.3613036731131
"LOC105828508","LOC105828508",119.231640387522
"LOC105828509","LOC105828509",145.736213619435
"LOC105828510","LOC105828510",356.516055351871
"LOC105828511","LOC105828511",89.4966480801782
