"","Gene","larva","pupa","head","thorax","abdomen","DEcat","FDR","conn"
"35","LOC100576162",0.130439851590952,0.679510423207454,1.63433979425928,1.33406342074604,-0.627733477690433,"non-DE",0.202624217598142,132.121317824762
"36","LOC100576165",-0.137840464361747,0.250096797960055,0.0511683384742986,-0.7930639566815,-0.353164333281354,"non-DE",0.476445583435874,30.1749775434254
"37","LOC100576167",0.0518009352187399,-3.78334859601489,8.35791900129938,-4.76124098363311,-5.18966598023809,"queen",2.54953116481135e-05,2.74303047603099
"38","LOC100576168",1.07589434253546,0.595054755973292,-0.147897512488028,-0.699000498057702,-4.85715527489715,"queen",4.17565385635966e-07,18.3615181230279
"39","LOC100576176",0.282130617673656,0.17154309209239,0.507717213606183,-0.0498837367833662,-1.05161825542672,"queen",0.0205816211325786,141.701501574815
"40","LOC100576192",0.899833994068751,2.20327111325485,1.09481148253867,0,1.29958912212945,"non-DE",0.483371875650617,11.6920043157941
"41","LOC100576216",-0.0850234626341948,1.05820334055938,0.0930712862990838,-0.448124289568843,-1.03055094840283,"queen",0.0254439984655887,45.2490874963369
"42","LOC100576221",-0.263095503288459,0.6814420157657,0.544098108650542,0.220218956973892,-2.34911582662391,"queen",2.10658441217682e-11,158.191102501828
"43","LOC100576224",-0.672236342671934,0.57073383887149,-3.75288620172514,-2.97416213720253,-6.55863222756374,"queen",9.58221058349015e-08,18.0921218927739
"44","LOC100576225",2.05803671103196,2.75317437755576,1.93505693850992,-0.556674905901555,3.1021414490055,"non-DE",0.184199148405551,3.33207771680621
"45","LOC100576227",0.162593226767394,-0.0105849220500096,0.928390282966259,0.48550173263486,-1.3288407217932,"queen",0.00116356401153399,127.707374202166
"46","LOC100576248",0.760919552370407,0.598042473710183,0.21736384357116,0.503958181658277,2.76336350043707,"non-DE",0.178342461113259,7.13846208626385
"47","LOC100576253",-0.740350523713672,4.63213437840966,1.09481148253867,-0.82095823058985,5.90968266965558,"worker",0.0158807977710581,3.53344283810564
"48","LOC100576266",-0.123542650974653,-1.17171709135142,-0.078141013764074,-0.633367088891803,-1.32006963208899,"queen",0.0130319391583714,18.7971325606627
"49","LOC100576272",-0.295449662361493,0.0364175732802985,-0.364326785266894,-0.414639797622705,-1.29684526456842,"queen",0.00746166377781412,11.4116662162175
"50","LOC100576321",0.186949326653031,0.344961854465925,0.138823301838112,1.21553940487611,-1.08624970420303,"queen",0.0312397071081573,100.958724291122
"51","LOC100576333",-0.0797294584142101,0.00279537342248475,-0.69838045878426,0.400774875332107,-6.49272130698997,"queen",1.44049265636749e-14,161.51482153017
"52","LOC100576346",0.193393251548201,0.614130722322544,0.523147292411435,1.18370629205084,-1.59811411724537,"queen",0.00532063844917636,89.4078066759685
"53","LOC100576404",-0.0953384122265141,-0.761770568088665,-1.1022706646661,-0.419447320876921,-3.41077380214808,"queen",6.32032399785688e-06,185.921721406568
"54","LOC100576412",-0.0998013642832357,0.236454644538411,1.64718455276539,0.0899809325530442,-1.99268324039075,"queen",2.88717475946621e-06,194.680383002291
"55","LOC100576418",0.687666472825719,-1.81581788534023,5.57578084314641,5.92802403220428,3.31870182655327,"non-DE",0.104466463730074,4.35405324272018
"56","LOC100576432",0.51791356328502,0.274700333180456,-0.687218970699041,0.334731024236076,-1.25112060756202,"queen",0.0104650827056342,45.9517790900947
"57","LOC100576433",-0.0519662485079789,0.741561583369217,0.170573201480402,1.02726317158218,-1.44814322184529,"queen",0.000995991953869595,34.4134749612193
"58","LOC100576438",0.225589484608566,0.795106902792263,-0.100943987788963,0.234859677202509,-2.6928018065563,"queen",7.46467289796982e-10,150.381549796631
"59","LOC100576482",0.128854837060666,-0.016176873577426,0.390160361735646,0.828965336068752,-2.21840392568995,"queen",7.92331726746508e-07,33.7980227941603
"60","LOC100576492",-0.0885067367937706,0.277686970148755,0.0312258087872369,0.123495018920418,-4.09500117524044,"queen",5.23159438033209e-14,66.5591734087141
"61","LOC100576527",0.0105311129016564,0.63368025133378,0.482913872337129,-0.0978648012205623,-0.782038147284029,"queen",0.0972641332748915,22.3177346267212
"62","LOC100576568",1.56884159545858,-0.00387984150040446,-3.39389254860193,-1.77520873445662,-8.46923749899961,"queen",7.72606015882346e-39,175.458349044496
"63","LOC100576600",-0.0383009017465349,0.581620527997311,0.990026164413664,0.375054015706815,-0.813097830574157,"queen",0.0865899383488042,27.8092582221201
"64","LOC100576615",-0.336999077366428,-0.788002590488325,0.192087889606178,0.687661215968126,-2.75992676094784,"queen",1.6390249666094e-07,172.10139762221
"65","LOC100576618",0.119575592576611,0.00221055997626972,0.241860129785765,1.74092458883479,-0.264337547285716,"non-DE",0.863057662938619,57.7944629545516
"66","LOC100576647",-0.1410629756097,0.445432685054397,0.782515536508035,0.393831070929541,-1.48351876918949,"queen",0.000230418430351834,68.1358077131503
"67","LOC100576662",0.142175240647413,-7.25302723580294,2.19195400679924,7.01982171823214,3.17348455590394,"non-DE",0.238722464430908,1.10247741603921
"68","LOC100576683",-0.315154754872953,-0.21942436356782,0.961743865346764,0.425984078317257,-3.83545018565092,"queen",4.11607150660368e-08,157.646461953416
"69","LOC100576687",-0.311959615314601,-2.31606677795691,-2.56500895721959,-1.52719975828829,-5.19165858415971,"queen",1.92339739107062e-06,46.9477318874608
"70","LOC100576706",0.128453881849572,0.421118940196634,0.0181228226646841,0.0887698912723334,-0.651811521822874,"non-DE",0.142943034798535,77.6897202814317
"71","LOC100576708",0.0418951730989451,0.565452700645185,0.0477888589637,-0.279840501110219,-1.10963198331668,"queen",0.00248858889678529,78.1916022079309
"72","LOC100576709",-0.818562780047027,1.20129691513076,-0.495523363686176,0.676034392437499,-1.43479213229629,"queen",0.00295878763993922,38.4080105815536
"73","LOC100576738",0.104518334840774,2.2455214446322,5.08727651374718,5.08551338237423,2.45327536173571,"non-DE",0.112354129604864,3.26559959363948
"74","LOC100576755",-1.06539827859717,-1.05470116282692,-1.07202399832812,-2.30110814026254,-4.91901465596885,"queen",2.98576762577563e-05,28.1702689290956
"75","LOC100576761",-0.314929203840646,0.397744520098736,0.485941456845976,0.600787990840601,-1.82474820865204,"queen",3.70355180708287e-05,142.293055767764
"76","LOC100576762",-0.173901076331064,-0.0724725487712908,-1.57244433415246,0.276119376535585,0.277303941319416,"non-DE",0.768439706849807,35.1114555203093
"77","LOC100576773",-0.264437359557255,0.111698186243285,-1.32715005585941,-1.07820842628951,-1.6508363250094,"queen",0.000748701202909338,9.68543599976623
"78","LOC100576812",-0.0828265594867524,0.000561310721015882,0.539992709876705,0.490170634623126,-0.712406086584593,"non-DE",0.110612569296089,49.9274304529094
"79","LOC100576817",-0.183188346689551,0.504487662961014,-0.888255205323178,-0.0477457663923276,-1.41243308907839,"queen",0.0112379822839843,70.5510250192804
"80","LOC100576828",-0.610257088741662,-0.347322005541624,-0.665800392065906,-0.201395518564961,-5.82555365441842,"queen",1.82116959897018e-59,184.370391051443
"81","LOC100576829",-0.0933432064141663,0.745505651601908,-0.208023698417172,0.0682088464556316,-1.44255888596578,"queen",0.00152049102612948,29.6331775810448
"82","LOC100576831",0.451744178818472,-2.45027480590221,-0.221386747824385,1.52190909284557,-4.06412166001614,"queen",3.49353507473449e-05,6.73460017599767
