"","Gene","kTotal"
"LOC100576249","LOC100576249",51.6861801917774
"LOC100576251","LOC100576251",37.1461411795538
"LOC100576253","LOC100576253",11.9826025739226
"LOC100576254","LOC100576254",26.044164529345
"LOC100576257","LOC100576257",83.4637231285552
"LOC100576258","LOC100576258",38.9867346243625
"LOC100576259","LOC100576259",79.2597984964942
"LOC100576260","LOC100576260",10.5287117453738
"LOC100576261","LOC100576261",106.226622277727
"LOC100576262","LOC100576262",457.443539954799
"LOC100576263","LOC100576263",171.665277853926
"LOC100576265","LOC100576265",152.832879430318
"LOC100576266","LOC100576266",83.5786986475951
"LOC100576270","LOC100576270",12.1192834901777
"LOC100576271","LOC100576271",317.197748043055
"LOC100576272","LOC100576272",31.7967472375037
"LOC100576273","LOC100576273",306.42279371158
"LOC100576274","LOC100576274",31.1511220240861
"LOC100576277","LOC100576277",41.8646628618182
"LOC100576279","LOC100576279",1.60748600677159
"LOC100576281","LOC100576281",359.90557213815
"LOC100576282","LOC100576282",6.47521817252814
"LOC100576283","LOC100576283",3.50272204321919
"LOC100576284","LOC100576284",9.71745113687986
"LOC100576287","LOC100576287",41.7582331052472
"LOC100576288","LOC100576288",21.8072477750733
"LOC100576289","LOC100576289",21.8167406399534
"LOC100576290","LOC100576290",384.015369034852
"LOC100576291","LOC100576291",7.95854377163957
"LOC100576293","LOC100576293",18.8306086115214
"LOC100576296","LOC100576296",19.7996809768503
"LOC100576297","LOC100576297",30.0412574665806
"LOC100576298","LOC100576298",17.791164493485
"LOC100576299","LOC100576299",2.91200835549291
"LOC100576300","LOC100576300",6.48595651259194
"LOC100576301","LOC100576301",40.0850618840418
"LOC100576302","LOC100576302",6.3376771811174
"LOC100576304","LOC100576304",117.535976921492
"LOC100576307","LOC100576307",3.4908114449046
"LOC100576318","LOC100576318",35.4199766958854
"LOC100576319","LOC100576319",64.6610624313198
"LOC100576320","LOC100576320",452.013891664367
"LOC100576321","LOC100576321",208.773978214514
"LOC100576326","LOC100576326",65.469298468527
"LOC100576330","LOC100576330",19.5994901910912
"LOC100576331","LOC100576331",38.8940849497014
"LOC100576333","LOC100576333",277.269775022802
"LOC100576336","LOC100576336",24.7432179720858
"LOC100576337","LOC100576337",18.5794436901634
"LOC100576338","LOC100576338",18.8406753502677
"LOC100576346","LOC100576346",155.882966561543
"LOC100576348","LOC100576348",228.47416136601
"LOC100576349","LOC100576349",61.3921582976958
"LOC100576350","LOC100576350",430.766026028919
"LOC100576351","LOC100576351",4.59359586260657
"LOC100576355","LOC100576355",6.08491137351308
"LOC100576359","LOC100576359",84.4736079879455
"LOC100576361","LOC100576361",383.277017716942
"LOC100576366","LOC100576366",14.5849561157503
"LOC100576369","LOC100576369",47.595507565142
"LOC100576370","LOC100576370",284.175026636213
"LOC100576373","LOC100576373",38.3750180855986
"LOC100576374","LOC100576374",125.062287332303
"LOC100576378","LOC100576378",23.2543797641922
"LOC100576380","LOC100576380",18.269991534006
"LOC100576381","LOC100576381",69.5158979697793
"LOC100576382","LOC100576382",277.235166188454
"LOC100576383","LOC100576383",42.7513661009087
"LOC100576384","LOC100576384",34.2804357604231
"LOC100576387","LOC100576387",445.384173083018
"LOC100576392","LOC100576392",72.9497674548254
"LOC100576397","LOC100576397",245.16241184653
"LOC100576400","LOC100576400",343.967674251672
"LOC100576401","LOC100576401",29.0705271341109
"LOC100576402","LOC100576402",87.5995226208827
"LOC100576403","LOC100576403",48.5036384294595
"LOC100576404","LOC100576404",314.353572499838
"LOC100576405","LOC100576405",11.4040022504111
"LOC100576410","LOC100576410",409.342462010786
"LOC100576411","LOC100576411",86.9026418525735
"LOC100576412","LOC100576412",324.531756215439
"LOC100576413","LOC100576413",125.888342767704
"LOC100576414","LOC100576414",12.9048657130867
"LOC100576417","LOC100576417",39.5080372874128
"LOC100576418","LOC100576418",15.4835220536072
"LOC100576419","LOC100576419",15.7842065698957
"LOC100576421","LOC100576421",40.1757455424373
"LOC100576422","LOC100576422",12.3557708722725
"LOC100576423","LOC100576423",20.3384511183046
"LOC100576425","LOC100576425",7.62656658444094
"LOC100576427","LOC100576427",50.8158437968687
"LOC100576428","LOC100576428",7.15258475678442
"LOC100576432","LOC100576432",112.740918039296
