"","Gene","tau"
"LOC100577373","LOC100577373",0.923383168875838
"LOC551631","LOC551631",0.822043232998133
"LOC551633","LOC551633",0.387648392949715
"LOC551632","LOC551632",0.838120468488567
"LOC551635","LOC551635",0.364201442071578
"LOC551637","LOC551637",0.411343364402436
"LOC551636","LOC551636",0.588970702550006
"LOC551639","LOC551639",0.83006379585327
"LOC726646","LOC726646",0.80274508658704
"LOC100578300","LOC100578300",0.744789554517918
"LOC100577863","LOC100577863",0.88334632668454
"LOC100578304","LOC100578304",0.849593495934959
"LOC726997","LOC726997",0.648749241225089
"LOC100578307","LOC100578307",0.793047664141414
"LOC100578309","LOC100578309",0.728827341267369
"LOC726137","LOC726137",0.45646450421121
"LOC412778","LOC412778",0.921966694440066
"LOC726134","LOC726134",0.860685575090773
"LOC102656028","LOC102656028",0.948713550600343
"LOC102656029","LOC102656029",0.92804527488322
"LOC102656027","LOC102656027",0.946000869446733
"LOC412770","LOC412770",0.613886825609624
"LOC412771","LOC412771",0.909846355497511
"LOC102656022","LOC102656022",0.743919716646989
"LOC102656023","LOC102656023",0.877482846620517
"LOC102656020","LOC102656020",0.943615934627171
"LOC102656021","LOC102656021",0.523750824548444
"LOC413173","LOC413173",0.425597375232688
"LOC551986","LOC551986",0.830788919812209
"LOC413171","LOC413171",0.883317757681193
"LOC413170","LOC413170",0.438801390905285
"LOC551983","LOC551983",0.416138491650554
"LOC413176","LOC413176",0.401356980289432
"LOC551981","LOC551981",0.563881816580541
"LOC551980","LOC551980",0.222580868828666
"LOC726834","LOC726834",0.788167744640077
"LOC413179","LOC413179",0.358378871691717
"LOC552512","LOC552512",0.938834622054768
"LOC551988","LOC551988",0.954581268049777
"LOC725159","LOC725159",0.899166736613853
"LOC725158","LOC725158",0.90175543190935
"LOC725155","LOC725155",0.41759421036176
"LOC725154","LOC725154",0.856608525495022
"LOC725157","LOC725157",0.979994216588751
"LOC725156","LOC725156",0.380000803341902
"LOC725151","LOC725151",0.888601656374168
"LOC725150","LOC725150",0.684171730848969
"LOC726397","LOC726397",0.313977091489053
"LOC102655781","LOC102655781",0.838787727234839
"LOC552519","LOC552519",0.722385474292518
"LOC726829","LOC726829",0.861237956579454
"LOC726824","LOC726824",0.525562735936418
"LOC550857","LOC550857",0.473047879548696
"LOC550854","LOC550854",0.382824748419996
"LOC726825","LOC726825",0.912443931821095
"LOC550858","LOC550858",0.603148352494758
"LOC726826","LOC726826",0.605914277834342
"LOC102654899","LOC102654899",0.98312690399445
"LOC102654898","LOC102654898",0.889886363636364
"LOC102654729","LOC102654729",0.811471861471861
"LOC102654728","LOC102654728",0.891876338329764
"LOC102654891","LOC102654891",0.753494244773315
"Fibroin4","Fibroin4",0.878959711391362
"LOC102654721","LOC102654721",0.696362665112665
"LOC102654720","LOC102654720",0.914169219484834
"LOC102654895","LOC102654895",0.775548874233085
"LOC102654894","LOC102654894",0.828863889733455
"Fibroin3","Fibroin3",0.54435736677116
"Fibroin2","Fibroin2",0.656826856349757
"LOC107965002","LOC107965002",0.57240791179721
"LOC107965003","LOC107965003",0.757006840000812
"LOC107965000","LOC107965000",0.948257025434541
"LOC107965001","LOC107965001",0.800535389227969
"LOC107965006","LOC107965006",0.922501411631847
"LOC107965007","LOC107965007",0.91779566725571
"LOC107965004","LOC107965004",0.750990675990676
"LOC107965005","LOC107965005",0.944497310188201
"LOC107965008","LOC107965008",0.916500622665006
"LOC107965009","LOC107965009",0.902153316106804
"LOC107964232","LOC107964232",0.849481658692185
"LOC107964233","LOC107964233",0.794573319400906
"LOC107964230","LOC107964230",0.784869029275809
"LOC107964231","LOC107964231",0.823989898989899
"LOC107964236","LOC107964236",0.812091023489933
"LOC107964237","LOC107964237",0.841414141414141
"LOC107964234","LOC107964234",0.757883923985619
"LOC107964235","LOC107964235",0.756593924881863
"LOC107964238","LOC107964238",0.824793388429752
"LOC550738","LOC550738",0.318393109287046
"LOC551219","LOC551219",0.576147803538743
"LOC552798","LOC552798",0.35471271492262
"LOC102654091","LOC102654091",0.970368940037589
"LOC102654090","LOC102654090",0.456649292065959
"LOC102654095","LOC102654095",0.755538516123945
"LOC102654094","LOC102654094",0.708305054474013
"LOC102654097","LOC102654097",0.894732686668171
"LOC102654099","LOC102654099",0.917528223410576
"LOC102654098","LOC102654098",0.658931419457735
"LOC413718","LOC413718",0.383849676582795
"LOC411199","LOC411199",0.918631249960297
"LOC409540","LOC409540",0.422836747750635
"LOC409543","LOC409543",0.597455445380105
"LOC409544","LOC409544",0.435492266279456
"LOC409547","LOC409547",0.525994979990705
"LOC409546","LOC409546",0.866211232187762
"LOC409549","LOC409549",0.925857494844393
