"alpha.Cat1","alpha.Cat2","alpha.Cat3","stage","species"
"0.217151004577","-0.0187686832938","0.28101175835","larva","ant"
"0.18720510803","-0.12608737683","0.0559721362944","larva","ant"
"0.200938175567","-0.268085306338","0.124706884664","larva","ant"
"0.191167755766","0.0394152948536","0.194548619355","larva","ant"
"0.171827551222","-0.0806204345935","0.0762715061641","larva","ant"
"0.190640526798","-0.0209926150504","0.14578489135","larva","ant"
"0.222905243121","0.0474765923195","0.211870835342","larva","ant"
"0.175434847372","-0.28200158201","0.0454348795334","larva","ant"
"0.173495798559","-0.142809371927","-0.0362266033553","larva","ant"
"0.198554970065","-0.220978117674","0.227629458312","larva","ant"
"0.229108515364","-0.529661362413","0.229421541554","larva","ant"
"0.194006397789","0.0201697255878","0.41320588505","larva","ant"
"0.169381602405","-0.0280581195557","0.120217035675","larva","ant"
"0.181374112835","0.185322898142","0.216135333856","larva","ant"
"0.199812288653","0.135340008932","0.384169373837","larva","ant"
"0.168056880453","0.0742329334075","0.248825743016","larva","ant"
"0.181508221209","0.0561520888738","0.256282062637","larva","ant"
"0.173905804366","-0.253635224112","0.0453040121768","larva","ant"
"0.231628977456","-0.0900299197844","0.0922327515997","larva","ant"
"0.212294026452","-0.188609941777","-0.0791951531515","larva","ant"
"0.208209381643","-0.0383850176346","0.160119915659","larva","ant"
"0.199392920164","-0.0457498547989","0.210929154614","larva","ant"
"0.176599233639","-0.0148058184649","0.248592289765","larva","ant"
"0.236258824329","-0.0951516446402","0.045600059643","larva","ant"
"0.187182792606","-0.0379652742614","0.183719093872","larva","ant"
"0.183461763248","0.251668589631","0.198612195185","larva","ant"
"0.221084948891","-0.0509706825212","0.291105926039","larva","ant"
"0.188115971664","0.165492882643","0.0121429567908","larva","ant"
"0.227121779579","-0.0683039301364","0.283792108848","larva","ant"
"0.161941641902","0.0318493080257","0.174601314081","larva","ant"
"0.187926990434","-0.0061147861272","0.399018173137","larva","ant"
"0.171539418187","0.116264146778","0.446069960788","larva","ant"
"0.179815702543","0.0205177548949","0.160373603783","larva","ant"
"0.168679919967","-0.134981630176","0.191864597912","larva","ant"
"0.215732260026","0.162273711779","0.049043948114","larva","ant"
"0.169745102988","-0.108662962636","0.475413714992","larva","ant"
"0.180851453353","0.0588619350943","0.0813524689081","larva","ant"
