"","Gene","larva","pupa","head","thorax","abdomen","DEcat","FDR","conn"
"15","LOC105828144",-0.608738525341034,-0.46287945572649,0.0940645453331886,1.03260639736932,-2.83083454530259,"queen",0.000239793783394614,134.128954761108
"16","LOC105828155",-0.257798700868825,-0.199631758257157,-0.44328302221128,-0.870848417168963,-1.23362495328193,"queen",0.0168929340495608,26.1488402300913
"17","LOC105828186",-0.0666745877159437,1.28123341681994,-0.445132097339745,0.160422108672313,-1.26820423984791,"queen",0.0421033111324715,45.6047915829752
"18","LOC105828188",-0.291175379641503,-0.0527032765529795,0.985832945998795,-1.50342839063903,-1.73313887801088,"queen",0.0175540923609028,38.8818781087017
"19","LOC105828193",-0.608378960001272,-1.02432611530699,0.370758495613993,0.0900630624159649,-0.58816257510303,"non-DE",0.582343717050082,49.9677527467429
"20","LOC105828206",-0.536389312932421,-4.10464883759857,-1.64214926577068,-0.733093835782584,-8.24627196247791,"queen",3.28717836516874e-17,163.643469083056
"21","LOC105828233",0.402631924040568,0.0540307918804112,-0.70761440270282,-0.960714090921317,-2.65153999565156,"queen",4.22035348311923e-08,19.6474738409777
"22","LOC105828242",0.220006989140134,0.229683324591035,-1.76568269899939,-2.87652602216673,-3.13360267434975,"queen",7.90265690350391e-15,67.1588549697842
"23","LOC105828284",-0.12938528222293,-0.459430177810742,-0.837461453280247,-1.44553596702905,-1.25303741044038,"queen",0.0150374453463402,123.4857020337
"24","LOC105828291",-0.00926892219069793,0.134072383848088,0.584607292291736,-0.363324989858188,-1.76523828803805,"non-DE",0.235937886869321,24.834556871896
"25","LOC105828306",-0.443289686781368,0.358966562490508,0.623841092515192,0.298829644028098,-0.954792393699788,"queen",0.0394473682197035,38.1049120858509
"26","LOC105828307",-0.00130534958013063,-0.0443053005057729,0.396155507689303,0.29512587730203,-0.822330223151672,"non-DE",0.175718603034354,67.6488667806816
"27","LOC105828336",0.385696895248312,-0.794319937338724,-0.478732946094295,-0.103954502729079,-2.31610481442259,"queen",9.66948694098623e-06,74.3267976824476
"28","LOC105828353",-0.226055583433123,-0.795665914435724,0.625671843597065,-0.182521921540255,-2.98999900222431,"queen",8.59827775885687e-11,177.50199570017
"29","LOC105828366",0.0839351505206044,-0.809394759684915,2.72013822457091,-0.125763730270771,-4.10466835403178,"queen",2.75574618542013e-09,160.479162752215
