"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"359",0,0,325,0,0,1,0,0,0
"360",0,7,9,43,0,0,0,0,0
"361",33,1,0,0,5,0,0,0,0
"362",12,6,36,3,0,0,0,0,0
"363",3,1,31,0,4,63,0,0,0
"364",104,0,0,0,0,244,0,0,0
"365",12,0,0,10,37,0,0,0,0
"366",0,266,0,0,0,0,0,0,0
"367",0,0,0,0,0,33,0,0,0
"368",0,1,30,1,0,0,0,0,0
"369",14,388,2,0,0,0,0,0,0
"370",5,4,0,0,0,0,0,0,0
"371",12,0,29,0,0,0,0,0,0
"372",20,0,1,0,14,0,0,0,0
"373",0,0,0,0,0,20,0,0,0
"374",0,0,0,0,0,0,0,0,0
"375",0,0,1,0,0,0,0,0,0
"376",13,0,1,0,0,1,0,0,0
"377",0,0,0,3,0,0,0,0,0
"378",2,0,0,6,0,0,0,0,0
"379",0,0,0,0,0,0,0,0,0
"380",0,0,18,3,0,0,0,0,0
"381",8,9,0,0,0,0,0,0,0
"382",203,0,89,44,12,85,5,0,0
"383",0,0,0,0,0,0,0,0,0
"384",30,0,0,1,543,0,0,0,0
"385",0,702,0,0,0,57,0,0,0
"386",74,0,0,52,96,19,1,0,0
"387",0,0,28,0,2,0,0,0,0
"388",35,0,5,0,0,1,0,0,0
"389",0,0,1,0,8,76,0,0,0
"390",0,6,6,2,0,0,0,0,0
"391",69,0,0,2,2,133,0,0,0
"392",0,0,0,47,0,1,0,0,0
"393",0,0,0,0,0,20,0,0,0
"394",0,0,193,0,36,0,0,0,0
"395",0,0,0,8,0,1,0,0,0
"396",70,0,0,22,14,30,0,0,0
"397",20,0,9,0,4,0,0,0,0
"398",25,0,0,1,0,0,0,0,0
"399",213,2,0,1,1,17,0,0,0
"400",0,321,186,0,173,0,0,18,0
"401",0,282,102,0,0,1,0,0,0
"402",14,12,0,0,0,22,0,0,0
"403",173,0,3,0,0,0,0,0,0
"404",14,0,0,0,0,325,0,0,0
"405",0,393,1,4,2,53,0,0,0
"406",0,1,0,0,45,0,0,0,0
"407",0,0,0,0,1,234,0,0,0
"408",1,0,8,0,0,0,0,0,0
"409",16,2,0,5,0,33,0,0,0
"410",8,0,1,0,2,0,0,0,0
"411",15,0,32,1,0,1,0,0,0
"412",13,1,0,25,0,0,1,0,0
"413",0,0,0,0,0,1,0,0,0
"414",27,0,52,11,1,1,0,0,0
"415",0,0,0,95,0,0,0,0,0
"416",5,2,0,178,0,0,0,0,0
"417",0,0,2,1,44,16,0,0,0
"418",3,4,0,0,0,3,0,0,0
"419",0,0,1,0,0,1,0,0,0
"420",0,0,49,0,19,0,0,0,0
"421",0,0,40,1,0,51,0,0,0
"422",0,0,36,3,17,1,0,0,0
"423",69,0,64,0,231,39,0,0,0
"424",0,0,0,10,19,0,0,0,0
"425",10,0,31,1,2,22,0,0,0
