"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"210",0,699,0,2,2,102,0,2,0
"211",0,699,0,0,0,0,0,0,0
"212",0,0,871,7,0,0,0,0,0
"213",0,0,3,2,0,1,0,0,0
"214",1,699,3,8,0,0,0,0,0
"215",0,699,0,0,1,0,0,0,0
"216",1,4,871,8,206,102,0,0,6
"217",38,4,0,2,0,1,0,0,0
"218",38,0,0,0,19,168,0,0,0
"219",2,0,0,143,1,0,0,0,0
"220",2,0,0,8,19,102,0,0,0
"221",2,0,3,8,0,0,0,0,0
"222",38,0,3,8,206,102,0,0,0
"223",0,4,0,143,19,102,0,0,0
"224",0,4,3,143,1,0,0,0,0
"225",2,4,3,0,206,0,0,0,0
"226",0,0,0,0,2,0,0,0,0
"227",347,0,3,8,0,0,1,0,0
"228",0,699,0,0,0,0,0,0,0
"229",0,0,871,143,19,0,0,0,0
"230",0,0,0,2,1,168,0,0,0
"231",0,0,0,7,1,102,0,0,0
"232",2,0,3,0,19,0,0,0,0
"233",38,0,0,140,1,0,1,0,0
"234",38,0,871,7,1,0,0,0,0
"235",0,0,0,0,1,0,0,0,0
"236",2,0,0,0,1,0,0,0,0
"237",2,699,0,0,6,0,0,0,0
"238",2,4,0,8,19,102,0,0,0
"239",2,0,3,8,1,0,0,0,0
"240",38,4,871,7,19,168,0,0,7
"241",347,699,3,0,6,0,0,0,0
"242",38,0,3,140,1,0,1,0,0
"243",347,0,0,0,2,102,0,0,0
"244",0,699,0,2,0,0,0,0,0
"245",38,0,0,0,0,0,0,0,0
"246",1,4,0,0,19,0,0,0,0
"247",0,0,0,7,206,0,0,0,0
"248",38,4,0,8,2,0,0,0,0
"249",0,4,871,2,206,0,0,0,0
"250",1,0,0,8,6,0,0,0,0
"251",1,4,0,0,6,102,0,0,0
"252",38,0,0,0,0,0,0,0,0
"253",2,4,0,8,2,0,0,0,0
"254",0,0,0,143,0,0,0,0,0
"255",0,4,0,2,206,0,0,0,0
"256",0,0,0,8,19,0,0,0,0
"257",38,4,0,0,206,102,0,0,0
"258",0,0,0,0,6,1,0,0,0
"259",347,0,0,0,1,0,0,0,0
"260",0,0,0,0,1,0,0,0,0
"261",0,4,0,140,19,1,0,0,0
"262",347,0,0,7,0,0,0,0,0
"263",2,0,0,0,2,1,0,0,0
"264",38,0,0,0,0,0,0,0,0
"265",1,0,3,0,2,0,0,0,0
"266",2,4,0,7,0,168,0,0,0
"267",0,0,0,8,19,0,0,0,0
"268",2,0,0,0,19,102,0,0,0
"269",1,4,3,140,2,102,0,0,0
"270",38,0,0,0,1,102,0,0,0
"271",0,4,871,0,2,0,0,0,0
"272",2,699,0,2,2,168,0,2,0
"273",38,0,0,0,0,102,0,0,0
"274",2,699,0,0,6,0,0,0,0
"275",2,0,0,0,206,0,0,0,0
"276",0,4,871,7,0,0,0,0,0
"277",2,0,0,0,1,0,0,0,0
"278",2,0,0,8,1,168,0,0,0
"279",347,0,0,2,1,0,0,0,0
"280",2,699,0,0,19,168,0,2,0
"281",0,0,0,8,0,102,0,0,0
"282",0,0,871,7,19,1,0,0,0
"283",38,0,0,7,2,0,0,0,0
"284",0,0,0,7,6,0,0,0,0
"285",0,4,3,7,2,102,0,0,0
"286",2,4,871,7,0,0,0,0,0
"287",38,0,0,8,19,0,0,0,0
"288",1,699,0,8,19,0,0,2,0
"289",2,0,0,2,19,1,0,0,0
"290",38,4,0,2,2,0,0,0,0
"291",0,4,0,8,2,1,0,0,0
"292",2,0,0,8,19,0,0,0,0
"293",0,0,0,8,19,0,0,0,0
"294",1,4,3,8,1,1,0,0,0
"295",38,0,0,7,2,0,0,0,0
"296",38,4,0,0,1,0,0,0,0
"297",2,0,0,0,6,0,0,0,0
"298",0,699,0,8,0,0,0,0,0
"299",0,4,0,7,1,0,0,0,0
"300",38,4,0,0,19,0,0,0,0
"301",38,0,0,0,6,102,0,0,0
"302",347,0,0,7,6,102,0,0,0
"303",0,4,0,143,0,0,0,0,0
"304",0,0,0,0,6,0,0,0,0
"305",2,0,0,7,19,0,0,0,0
"306",38,0,0,0,1,1,0,0,0
"307",38,0,0,0,19,1,0,0,0
"308",347,699,0,7,2,0,0,2,0
"309",0,699,3,0,19,168,0,2,0
"310",0,0,0,0,19,0,0,0,0
"311",38,4,3,8,2,102,0,0,0
"312",1,0,0,0,2,0,0,0,0
"313",1,4,0,0,19,0,0,0,0
"314",2,0,0,8,206,102,0,0,0
"315",1,0,3,8,6,0,0,0,0
"316",0,0,0,0,2,0,0,0,0
"317",1,0,0,8,6,102,0,0,0
"318",2,0,0,2,1,0,0,0,0
"319",2,4,3,8,0,0,0,0,0
"320",2,0,0,2,2,0,0,0,0
"321",0,0,0,0,0,102,0,0,0
"322",2,4,0,0,2,0,0,0,0
"323",38,0,0,7,6,0,0,0,0
"324",0,0,0,143,0,0,0,0,0
"325",0,4,0,0,19,0,0,0,0
"326",1,699,0,0,0,0,0,0,0
"327",2,0,3,2,19,1,0,0,0
