"","x"
"LOC105831938",0.0955423522906
"LOC105835136",0.339512048303
"LOC105834292",0.34622625834
"LOC105832187",0.739855865654
"LOC105834487",0.209323584747
"LOC105834816",0.244781113463
"LOC105830797",0.561552607216
"LOC105832096",0.34228994692
"LOC105832220",0.999999999997
"LOC105836424",0.235559706954
"LOC105831934",0.0434829256517
"LOC105837487",0.885246649056
"LOC105838485",0.999999999996
"LOC105837599",0.482443764734
"LOC105830738",0.120628125288
"LOC105837804",0.939082123106
"LOC105828487",0.454181745866
"LOC105830971",0.460120456539
"LOC105832431",0.139947879612
"LOC105836846",0.0173983190592
"LOC105831284",0.312206562028
"LOC105835224",1
"LOC105831039",0.061367216315
"LOC105828762",0.243473113754
"LOC105832774",0.636018094261
"LOC105830208",0.280395769807
"LOC105831628",0.160941074236
"LOC105829022",0.136623628817
"LOC105837125",0.357211018373
"LOC105834414",0.374600961497
"LOC105838166",0.316686971909
"LOC105836578",0.0778259624456
"LOC105832287",0.181767107591
"LOC105837723",0.11019432155
"LOC105835806",0.103583912476
"LOC105833536",0.599044642164
"LOC105838800",0.673570792433
"LOC105832528",0.83508255901
"LOC105836073",0.0418646658023
"LOC105828606",0.321346085942
"LOC105834249",0.125740489441
"LOC105835429",0.175430959628
"LOC105837775",0.18892987074
"LOC105831066",0.236818174792
"LOC105836174",0.67079019696
"LOC105833910",0.297147802029
"LOC105834426",0.59301262571
"LOC105838530",0.092933333996
"LOC105841155",0.43175149607
"LOC105836729",0.437519485508
"LOC105834999",0.758827539974
"LOC105829361",0.631692882827
"LOC105832285",0.228546520413
"LOC105834866",0.0659915555574
"LOC105832999",0.210408752844
"LOC105832237",0.454630359392
"LOC105831422",0.66241143912
"LOC105832532",0.307422730008
"LOC105829588",0.572853884773
"LOC105830977",0.376575196496
"LOC105835392",0.503040441383
"LOC105835414",0.301862451706
"LOC105838552",0.859211028156
"LOC105834257",0.052336795278
"LOC105830203",0.155176951317
"LOC105837151",0.103336736528
"LOC105828597",0.311388551041
"LOC105835493",0.999999999999
"LOC105834860",0.267628944419
"LOC105831513",0.167458689604
"LOC105834340",0.0990277874146
"LOC105833992",0.34747188754
"LOC105833018",0.639709756741
"LOC105832605",0.612967022406
"LOC105832784",0.0610958526083
"LOC105837254",0.042362551041
"LOC105829192",0.491756664152
"LOC105837347",0.243928428942
"LOC105834788",0.230171742303
"LOC105836735",0.179288891396
"LOC105838852",0.0409519116547
"LOC105837305",0.230695752165
"LOC105831311",0.159013012831
"LOC105836942",0.292388372168
"LOC105837351",0.516904696028
"LOC105840300",0.186917317171
"LOC105831671",0.334726678286
"LOC105838392",0.026123729568
"LOC105828570",0.963144049782
"LOC105837356",0.0621103410379
"LOC105832359",0.0611315678223
"LOC105830783",0.191824490196
"LOC105838426",0.307738529967
"LOC105831301",0.251648636667
"LOC105835492",0.143733245273
